Zodis               pakartojimu skaicius  eilutese
a                   5                     1 1 1 1 15
ahhh                2                     13 25
all                 2                     13 34
and                 11                    1 13 23 26 34 40 42 48 50 50 50
as                  2                     25 28
ate                 2                     13 34
baby                3                     34 40 48
bear                9                     30 32 34 36 38 40 42 46 48
bears               4                     15 28 50 50
bed                 6                     26 26 26 44 46 48
bedroom             2                     26 42
been                9                     30 32 34 36 38 40 44 46 48
big                 2                     17 21
bowl                3                     3 7 11
but                 3                     25 26 26
came                2                     1 28
chair               10                    15 17 19 21 23 25 25 36 38 40
cried               2                     34 40
decided             2                     15 42
down                4                     25 26 26 50
eating              3                     30 32 34
exclaimed           3                     5 17 48
first               3                     3 15 26
forest              2                     1 50
from                2                     3 7
goldilocks          7                     1 3 15 26 26 50 50
growled             3                     30 36 42
home                2                     28 50
in                  14                    1 1 3 15 19 26 26 26 36 38 40 44 46 48
into                4                     15 25 25 50
is                  6                     5 9 13 17 21 25
it                  7                     13 25 26 26 26 34 40
just                5                     13 25 25 26 50
last                2                     11 23
lay                 3                     26 26 26
little              2                     1 15
mama                3                     32 38 46
my                  9                     30 32 34 36 38 40 44 46 48
of                  4                     3 11 50 50
papa                3                     30 36 42
pieces              2                     25 40
porridge            10                    3 3 5 7 9 11 13 30 32 34
ran                 3                     50 50 50
rest                2                     15 25
right               4                     1 13 25 26
room                2                     15 50
said                5                     9 13 32 38 46
sat                 2                     15 19
saw                 2                     15 50
second              3                     7 19 26
she                 30                    1 1 1 1 3 5 7 9 11 13 13 15 15 15 15 17 19 21 23 25 25 26 26 26 26 28 50 50 50 50
sitting             3                     36 38 40
sleeping            4                     28 44 46 48
so                  5                     7 11 15 19 23
someones            9                     30 32 34 36 38 40 44 46 48
tasted              3                     3 7 11
the                 35                    1 3 3 3 3 7 7 11 15 15 15 19 23 25 26 26 26 26 28 30 32 34 36 38 40 42 46 48 50 50 50 50 50 50 50
then                3                     26 26 50
there               3                     1 3 48
they                3                     34 42 42
this                7                     5 9 13 17 21 25 26
three               6                     3 15 15 28 50 50
time                2                     1 26
tired               2                     15 26
to                  7                     15 25 26 40 42 42 50
too                 8                     5 9 17 21 21 26 26 46
up                  4                     13 34 50 50
upon                2                     1 1
upstairs            2                     26 42
walked              2                     1 15
was                 8                     1 3 15 26 26 26 26 28
went                2                     1 26
when                2                     1 42
Links: 
www.facebook.com
https://instagram.com
https://www.youtube.com/watch?v=nlhssajul-4
